species,year,site_orig,site_clim,sex,year_period,sun_ground,sun_high_veg,partial_shade_low_veg,full_shade_ground,full_shade_high_veg
MS,1947,A1,B1,F,historical,52.46763362732617,18.52487347248377,2.45353553364881,-12.148354394296168,11.612417006381506
MS,1947,A1,Eldo,F,historical,67.01748628053569,4.788080556155838,-12.86110504534598,-28.833475130506724,0.7459294720723042
MB,1947,A1,A1,M,historical,53.90927077470011,-19.231491349205438,-45.98986233187772,-68.80119100275009,-17.762746140075034
MB,1947,A1,B1,M,historical,41.64530119789332,14.94791593301668,-2.0359551195207852,-16.294228682180435,12.913731252180364
MB,1947,A1,C1,M,historical,42.78281424306634,17.98521076815422,0.20529906438163834,-17.804980557608037,12.305139522485085
MB,1947,A1,D1,M,historical,19.315999917523488,11.954575101613655,13.016273972887591,13.823235270731688,4.9265423874769
MS,1947,A1,A1,M,historical,46.1011245184849,-10.484544793731319,-30.235887475306427,-48.733450124150544,-12.272033564278418
MS,1947,A1,B1,M,historical,34.78372766853983,12.766321828621415,1.7928517449336185,-8.156422802235616,8.098514655065632
MS,1947,A1,Eldo,M,historical,44.97283989050786,3.419130044168715,-8.628689464654903,-19.52194615849796,0.6639150709453786
MB,1948,A1,A1,F,historical,63.52226347451942,-107.09139399176848,-140.06253997477916,-148.23125098933343,-110.29856999770408
MB,1948,A1,B1,F,historical,49.9319781695632,-11.717215099880724,-44.71865342150593,-73.32452611488458,-16.43527308575248
MB,1948,A1,C1,F,historical,54.76930224422085,-26.902884904331295,-67.85722355213197,-103.49685394818633,-29.999780055169673
MB,1948,A1,D1,F,historical,23.17901719015194,-0.6525298312715971,-27.967284407589837,-59.262040505297456,-2.806066029123084
MS,1948,A1,A1,F,historical,76.4523776460506,-116.53040306898144,-181.0826884940022,-223.16115727792362,-118.06355355626673
MS,1948,A1,B1,F,historical,59.533877511872745,-3.6268132522568886,-36.228639728825364,-67.90689108354015,-13.765374231051762
MS,1948,A1,Eldo,F,historical,76.18695848254478,-112.20739549472556,-173.40696615673292,-216.08545372253604,-111.41144314168751
MB,1948,A1,A1,M,historical,59.520573195555464,-100.64072340661747,-131.5474014748086,-139.0799127835079,-103.65692558954339
MB,1948,A1,B1,M,historical,46.672457174542714,-11.015036903033648,-42.043614256766176,-68.92509373855093,-15.419779973965088
MB,1948,A1,C1,M,historical,51.310109958752165,-25.252457446951713,-63.7552441731165,-97.24666073618017,-28.15399018399527
MB,1948,A1,D1,M,historical,21.66644578057076,-0.5453527360267862,-26.224931650956883,-55.65024072802383,-2.5676887462004285
MS,1948,A1,A1,M,historical,51.36355944192001,-79.48349645153942,-123.40037673487254,-151.72138021463886,-80.5223884477394
MS,1948,A1,B1,M,historical,39.45314763824279,-2.404434491843995,-24.683528378176028,-46.29037494204421,-9.228495385080258
MS,1948,A1,Eldo,M,historical,51.15246915512886,-76.51511632656215,-118.18045755332966,-147.00936150296766,-75.95745951726171
MB,1949,A1,A1,F,historical,60.17703408307155,22.17456020131861,-0.9890236463330289,-23.253651406632187,16.396478344977467
MB,1949,A1,B1,F,historical,48.92612075859815,29.10190655426647,4.661089065976932,-18.56924609914185,22.489819715683073
MB,1949,A1,C1,F,historical,50.87156920749896,29.218665574194144,9.488704476978594,-14.195309534285643,17.67733734714364
MB,1949,A1,D1,F,historical,23.076537144369254,13.66664253427561,14.70341108585048,15.60175532990568,5.208214798789002
MS,1949,A1,A1,F,historical,72.22865061514287,25.780374461402264,3.2714106897119497,-19.699835350383207,15.076193081607647
MS,1949,A1,B1,F,historical,59.11652355324405,33.729201961407426,11.928981030643198,-10.548983117957558,20.827596425293585
MS,1949,A1,Eldo,F,historical,71.92116303503374,6.510755810298924,-32.69754403274998,-74.47682849353079,-2.5501242565748194
MB,1949,A1,A1,M,historical,56.37334819209382,20.85957877000239,-0.9150850289016724,-21.840631009995743,15.43951618337424
MB,1949,A1,B1,M,historical,45.738414711444094,27.369203324282726,4.389816249957195,-17.444339789329792,21.177882178859313
MB,1949,A1,C1,M,historical,47.65803275385403,27.511365257944984,8.968772891342052,-13.294168270713202,16.66006634143866
MB,1949,A1,D1,M,historical,21.567846658071954,12.825147165362969,13.809264055106818,14.662960208745638,4.873335303570852
MS,1949,A1,A1,M,historical,48.46136723064165,17.700344199554333,2.3414210101409814,-13.325364005915867,10.40643826530846
MS,1949,A1,B1,M,historical,39.22610566839565,23.125462917892158,8.24776948762309,-7.074327511733216,14.379407260256997
MS,1949,A1,Eldo,M,historical,48.25399877283809,4.5709013358601815,-22.20452618088472,-50.722902720720896,-1.592939202897165
MB,1950,A1,A1,F,historical,58.943303047535274,-100.87503453899619,-137.36090609870868,-153.82987106542143,-100.8068588632173
MB,1950,A1,B1,F,historical,46.32582032858113,-68.15568373867838,-117.11167079338843,-144.87837267780174,-71.91513683304571
MB,1950,A1,C1,F,historical,50.86131535788623,-53.19243686373011,-105.27624289794024,-143.51134630487158,-52.67534969514308
MB,1950,A1,D1,F,historical,24.725893503950545,-8.990407368493628,-52.47196990896081,-98.45632475513771,-8.811070969976305
MS,1950,A1,A1,F,historical,70.81253632814456,-105.92150791707228,-168.3269159872298,-216.2486517298023,-104.14708475776648
MS,1950,A1,B1,F,historical,55.245134438411164,-60.469822423719414,-125.86958749361767,-182.89122983080355,-69.09889200940658
MS,1950,A1,Eldo,F,historical,69.47499195453794,-82.9179516187883,-154.49999029684915,-214.01510470994964,-87.06114116048931
MB,1950,A1,A1,M,historical,55.203272323563866,-94.80517956649403,-129.04170127355468,-144.41336416101825,-94.73845357278785
MB,1950,A1,B1,M,historical,43.26853148452601,-64.07032475832771,-110.06458874188773,-136.08145927597172,-67.57495059212822
MB,1950,A1,C1,M,historical,47.62927297834591,-49.96553528300466,-98.91930708614089,-134.81667604513592,-49.46857392126328
MB,1950,A1,D1,M,historical,23.123488594200435,-8.377040127361953,-49.26029442056792,-92.49239640045317,-8.204017754675396
MS,1950,A1,A1,M,historical,47.446481714510384,-72.24222375505083,-114.7673849116085,-147.2266591331614,-71.00453524331914
MS,1950,A1,B1,M,historical,36.45632538072851,-41.21406755864158,-85.87042883769702,-124.6395219762747,-47.00762522929457
MS,1950,A1,Eldo,M,historical,46.56777910961928,-56.51002860830202,-105.34102133180401,-145.72019422441147,-59.3096215802535
