shade,height,total_net_gains,avg_gains,avg_losses,hours,species,year,site_orig,site_clim,sex,year_period,filepath
0.8,0.15,2.319588572637511,0.0020514428367021586,0.0010004285310213654,2207,MB,1950,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_D1.rds
NA,NA,17.343839745041187,0.009722131212493322,0.0018635721979753397,2207,MB,1950,A1,D1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MB_1950_A1_D1.rds
0,0.01,25.37199880660213,0.013425240689546212,0.001929092612245746,2207,MS,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_A1.rds
0,0.15,17.016792536705395,0.009275041817423788,0.0015646691229492097,2207,MS,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_A1.rds
0.3,0.03,17.96593412937876,0.009728620893903802,0.0015881885742940343,2207,MS,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_A1.rds
0.8,0.01,10.937755721033353,0.006301595843824288,0.0013456575923365887,2207,MS,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_A1.rds
0.8,0.15,6.350465476285681,0.004108318988364321,0.0012308991984750224,2207,MS,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_A1.rds
NA,NA,25.751989817001657,0.013534560598493036,0.0018662371653250895,2207,MS,1950,A1,A1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_A1.rds
0,0.01,19.139675657705716,0.010283258382224155,0.0016109993619678265,2207,MS,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_B1.rds
0,0.15,11.549523911222423,0.006602003036087931,0.0013688703169114822,2207,MS,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_B1.rds
0.3,0.03,12.087178101338335,0.006849661758804859,0.001372915904097865,2207,MS,1950,A1,B1,F,historical,C:/Users/jmsmi/OneDrive/Documents/GitHub/EB_Ch1/output/results/A1/1950/F/eb_results_MS_1950_A1_B1.rds
