species,year,site_orig,site_clim,sex,year_period,sun_h_0.01,sun_high_veg,partial_shade_low_veg,shade_0.8_h_0.01,shade_0.8_high_veg,shade_NA_h_NA
MB,1950,A1,A1,F,historical,19.796036349423186,16.00087659015044,16.46398779265568,11.998372092810277,8.617798494411424,32.32936272488685
MB,1950,A1,B1,F,historical,16.77363885074512,12.46657019428177,12.738056362616547,8.550202462913855,6.068298518006154,22.58535868083184
MB,1950,A1,C1,F,historical,18.482302087062465,13.307837359519645,14.294033979123114,9.426864223913183,4.966166384044277,29.774466529546793
MB,1950,A1,D1,F,historical,14.163658900129278,9.336779252619166,9.877742547245045,5.700500027537539,2.7590819346732807,19.426672401300056
MS,1950,A1,A1,F,historical,25.223869278423297,16.914454887792797,17.85859184359264,10.868226061140833,6.305135685377097,25.602654090222195
MS,1950,A1,B1,F,historical,19.02621369098761,11.476679660799977,12.011601269013354,6.601706617580803,3.698080052029214,19.697100473119882
MS,1950,A1,Eldo,F,historical,25.674059400471023,18.57678286378776,19.23631778065779,12.353862907398975,7.981688410483049,26.791031825887185
MB,1950,A1,A1,M,historical,23.00607786665971,18.5937744453405,19.125345885290503,13.995961241629134,10.135266799022821,23.02506456832175
MB,1950,A1,B1,M,historical,19.483496491740308,14.532960464958812,14.841430787165153,10.045018130227795,7.2169848910395515,19.368646952947508
MB,1950,A1,C1,M,historical,21.473647264131227,15.480730995112776,16.611876686770106,11.02708286530224,5.933977623749359,21.431191208330766
MB,1950,A1,D1,M,historical,16.480277125617384,10.93099497771703,11.548092618728058,6.7626672115385915,3.40918847936312,16.40768281076518
MS,1950,A1,A1,M,historical,15.210233153020791,9.996374537852112,10.602195337465375,6.167983492041827,3.2408173325154035,12.164537074801869
MS,1950,A1,B1,M,historical,11.35612344796728,6.552368981315114,6.902566576758997,3.4693124432174147,1.6005201683547383,9.751190954288072
MS,1950,A1,Eldo,M,historical,15.434365893161669,11.020094059265976,11.44496385770246,7.088630155840778,4.286034092862866,12.83265154111844
MB,1951,A1,A1,F,historical,19.254293248133436,15.276953809871985,15.8271946426596,11.604713395781781,8.433688882562748,30.530963709188192
MB,1951,A1,B1,F,historical,15.855415417650116,11.768917542220468,12.009837582724158,8.14084487652702,6.051848919996916,21.059144546343123
MB,1951,A1,C1,F,historical,17.527134627817425,12.529561377875215,13.373748683322257,8.850307332957959,5.054648786559606,27.32248848863341
MB,1951,A1,D1,F,historical,12.734181599256209,8.917142928428389,9.24831226030004,5.5918110310740445,3.2562112909508896,18.10611256543487
MS,1951,A1,A1,F,historical,24.24544109676866,15.987413704574468,16.969694851746322,10.38473279170081,6.243260743951455,24.43115969301449
MS,1951,A1,B1,F,historical,17.55782502560688,10.733178346198429,11.114916680380928,6.202471398273324,3.824418396463017,18.122166791663755
MS,1951,A1,Eldo,F,historical,24.25504381648488,18.243859304086072,19.03269097904767,12.654084855795132,8.194454749202764,25.828045128348812
MB,1951,A1,A1,M,historical,22.376486051404573,17.76773165218163,18.398114215008338,13.54945598636726,9.927409546586741,22.208263970029545
MB,1951,A1,B1,M,historical,18.430187012239543,13.738886096244194,14.012284801584384,9.58144779333898,7.200325100727103,18.30365995824438
MB,1951,A1,C1,M,historical,20.369549027299907,14.595669740714097,15.562517327021423,10.373654091313004,6.0397982657458735,20.346956356857998
MB,1951,A1,D1,M,historical,14.858435573654495,10.46028324125528,10.838072003746811,6.644397148068788,3.9798123339895617,14.943225566393384
MS,1951,A1,A1,M,historical,14.602231104577816,9.401050023699968,10.031251177995438,5.8515485052273295,3.199178213888962,11.599225854861489
MS,1951,A1,B1,M,historical,10.420211505963579,6.073123387709063,6.323194914546682,3.2070048744931223,1.679493562173944,8.98875050714209
